UrlName	Name	LastUpdated	OSType	BasedOn	Origin	Architecture	Desktop	Category	Status	Popularity	Description
opensuse	openSUSE	2024-05-01 19:20 UTC	Linux	independent	Germany	aarch64;armhf;i686;ppc64;ppc64el;s390x;x86_64	Cinnamon;Enlightenment;GNOME;IceWM;KDE Plasma;LXDE;LXQt;MATE;Xfce	Desktop;Immutable;Server;Live Medium;Raspberry Pi 	Active	11 (741 hits per day)	The openSUSE project is a community program sponsored by SUSE Linux and other companies. Promoting the use of Linux everywhere, this program provides free, easy access to openSUSE, a complete Linux distribution. The openSUSE project has three main goals: make openSUSE the easiest Linux for anyone to obtain and the most widely used Linux distribution; leverage open source collaboration to make openSUSE the world's most usable Linux distribution and desktop environment for new and experienced Linux users; dramatically simplify and open the development and packaging processes to make openSUSE the platform of choice for Linux developers and software vendors.
kdeneon	KDE neon	2024-04-25 17:42 UTC	Linux	debian;ubuntu	United Kingdom	aarch64;x86_64	KDE Plasma	Desktop;Live Medium 	Active	12 (617 hits per day)	"KDE neon is a Ubuntu-based Linux distribution and live DVD featuring the latest KDE Plasma desktop and other KDE community software. Besides the installable DVD image, the project provides a rapidly-evolving software repository with all the latest KDE software. Two editions of the product are available - a ""User"" edition, designed for those interested in checking out the latest KDE software as it gets released, and a ""Developer's"" edition, created as a platform for testing cutting-edge KDE applications. "
garuda	Garuda Linux	2024-04-29 00:50 UTC	Linux	arch	India	x86_64	bspwm;Cinnamon;GNOME;i3;KDE Plasma;Recbox;UKUI;Xfce	Desktop;Live Media 	Active	13 (549 hits per day)	Garuda Linux is a rolling distribution based on the Arch Linux operating system. Unlike Arch Linux, Garuda Linux comes with a graphical installer (Calamares) for easy installation, and other advanced graphical tools for managing your system. Garuda is a performance-oriented distro with many performance enhancing tweaks. Some of the many tweaks include using zram, a performance CPU governor, along with custom memory management software. Garuda Linux has striven to provide system stability by including the Timeshift backup utility.
antix	antiX	2024-02-25 18:36 UTC	Linux	debian	Greece	i686;x86_64	Fluxbox;IceWM;JWM	From RAM;Desktop;Live Medium;Old Computers 	Active	14 (535 hits per day)	"antiX is a fast, lightweight and easy-to-install Linux live CD distribution based on Debian's ""Stable"" branch for x86 compatible systems. antiX offers users the ""antiX Magic"" in an environment suitable for old computers. The goal of antiX is to provide a light, but fully functional and flexible free operating system for both newcomers and experienced users of Linux. It should run on most computers, ranging from 256 MB old PIII systems with pre-configured swap to the latest powerful boxes. 256 MB RAM is recommended minimum for antiX. The installer needs minimum 2.7 GB hard disk size. antiX can also be used as a fast-booting rescue CD, or run ""live"" on a USB stick, with or without persistent file storage."
cachyos	CachyOS	2024-04-01 14:18 UTC	Linux	arch	Germany	x86_64;x86-64-v3	KDE Plasma	Desktop;Live Medium 	Active	15 (465 hits per day)	CachyOS is a Linux distribution based on Arch Linux. It focuses on speed and security optimisations - the default Linux kernel is heavily optimised using the BORE (Burst-Oriented Response Enhancer) scheduler, while the desktop packages are compiled with LTO, x86-64-v3 and x86-64-v4 optimization, security flags and performance improvements. The available desktop environments and window managers include KDE, GNOME, Xfce, CuteFish, i3wm, Wayfire, LXQt, OpenBox, Cinnamon, UKUI, LXDE, MATE, Budgie, Qtile, Hyprland and Sway. CachyOS also ships with both graphical and command-line installers and provides a Firefox-based browser (called Cachy-Browser) with some security enhancements and performance optimisations.
elementary	elementary OS	2024-02-02 02:44 UTC	Linux	debian;ubuntu	USA	x86_64	Pantheon	Beginners;Desktop;Live Medium 	Active	16 (451 hits per day)	elementary OS is an Ubuntu-based desktop distribution. Some of its more interesting features include a custom desktop environment called Pantheon and many custom apps including Photos, Music, Videos, Calendar, Terminal, Files, and more. It also comes with some familiar apps like the Epiphany web browser and a fork of Geary mail.
vanilla	Vanilla OS	2024-02-02 02:44 UTC	Linux	debian;ubuntu	Global	x86_64	GNOME	Desktop;Immutable;Live Medium 	Active	17 (429 hits per day)	Vanilla OS, a fixed-release distribution based on Ubuntu with the GNOME desktop, is an immutable operating system. The core parts of the system are locked down to prevent unwanted changes and corruption from third-party applications or a faulty update.
nixos	NixOS	2024-05-01 14:21 UTC	Linux	independent	Netherlands	i686;x86_64	Awesome;Enlightenment;Fluxbox;GNOME;i3;IceWM;KDE Plasma;LXQt;Ratpoison;Xfce	Desktop;Education;Live Medium;Server 	Active	18 (406 hits per day)	NixOS is an independently developed GNU/Linux distribution that aims to improve the state of the art in system configuration management. In NixOS, the entire operating system, including the kernel, applications, system packages and configuration files, are built by the Nix package manager. Nix stores all packages in isolation from each other; as a result there are no /bin, /sbin, /lib or /usr directories and all packages are kept in /nix/store instead. Other innovative features of NixOS include reliable upgrades, rollbacks, reproducible system configurations, source-based model with binaries, and multi-user package management. Although NixOS started as a research project, it is now a functional and usable operating system that includes hardware detection, KDE as the default desktop, and systemd for managing system services.
kali	Kali Linux	2024-02-28 18:57 UTC	Linux	debian	Gibraltar	aarch64;Apple M1;armel;i686;x86_64	GNOME;KDE Plasma;Xfce	Data Rescue;Forensics;Live Medium;Raspberry Pi;Security 	Active	19 (385 hits per day)	Kali Linux (formerly known as BackTrack) is a Debian-based distribution with a collection of security and forensics tools. It features timely security updates, support for the ARM architecture, a choice of four popular desktop environments, and seamless upgrades to newer versions.
freebsd	FreeBSD	2024-05-01 08:21 UTC	BSD	independent	USA	arm;aarch64;armel;i486;ia64;mips;mipsel;sparc64;pc98;powerpc;powerpc64;ps3;x86_64;xbox	AfterStep;Awesome;Blackbox;Enlightenment;Fluxbox;GNOME;IceWM;KDE Plasma;LXDE;Openbox;WMaker;Xfce	Desktop;Firewall;Raspberry Pi;Server 	Active	20 (378 hits per day)	"FreeBSD is a UNIX-like operating system for the i386, amd64, IA-64, arm, MIPS, powerpc, ppc64, PC-98 and UltraSPARC platforms based on U.C. Berkeley's ""4.4BSD-Lite"" release, with some ""4.4BSD-Lite2"" enhancements. It is also based indirectly on William Jolitz's port of U.C. Berkeley's ""Net/2"" to the i386, known as ""386BSD"", though very little of the 386BSD code remains. FreeBSD is used by companies, Internet Service Providers, researchers, computer professionals, students and home users all over the world in their work, education and recreation. FreeBSD comes with over 20,000 packages (pre-compiled software that is bundled for easy installation), covering a wide range of areas: from server software, databases and web servers, to desktop software, games, web browsers and business software - all free and easy to install."
sparky	SparkyLinux	2024-03-15 02:08 UTC	Linux	debian	Poland	armhf;i686;x86_64	Budgie;Enlightenment;JWM;KDE Plasma;LXDE;LXQt;MATE;Openbox;Xfce	Desktop;Live Medium 	Active	21 (377 hits per day)	"SparkyLinux is a lightweight, fast and simple Linux distribution designed for both old and new computers featuring customised Enlightenment and LXDE desktops. It has been built on the ""testing"" branch of Debian GNU/Linux."
lite	Linux Lite	2024-02-02 02:44 UTC	Linux	debian;ubuntu	New Zealand	x86_64	Xfce	Beginners;Desktop;Live Medium 	Active	22 (360 hits per day)	Linux Lite is a beginner-friendly Linux distribution based on Ubuntu's long-term support (LTS) release and featuring the Xfce desktop. Linux Lite primarily targets Windows users. It aims to provide a complete set of applications to assist users with their everyday computing needs, including a full office suite, media players and other essential daily software.
solus	Solus	2024-02-02 02:44 UTC	Linux	independent	Ireland	x86_64	Budgie;GNOME;KDE Plasma;Xfce	Beginners;Desktop;Live Medium 	Active	23 (336 hits per day)	"Solus is a Linux distribution built from scratch. It uses a forked version of the PiSi package manager, maintained as ""eopkg"" within Solus, and a custom desktop environment called ""Budgie"", developed in-house. The Budgie desktop, which can be set to emulate the look and feel of the GNOME 2 desktop, is tightly integrated with the GNOME stack. The distribution is available for 64-bit computers only."
mageia	Mageia	2024-05-01 15:20 UTC	Linux	independent	France	aarch64;armv7;i586;x86_64	Cinnamon;GNOME;IceWM;KDE;MATE;LXDE;LXQt;Openbox;WMaker;Xfce	Desktop;Live Medium;Server 	Active	24 (331 hits per day)	Mageia is a fork of Mandriva Linux formed in September 2010 by former employees and contributors to the popular French Linux distribution. Unlike Mandriva, which is a commercial entity, the Mageia project is a community project and a non-profit organisation whose goal is to develop a free Linux-based operating system.
tuxedo	TUXEDO OS	2024-04-29 20:06 UTC	Linux	debian;ubuntu	Germany	x86_64	KDE Plasma	Beginners;Desktop;Live Medium 	Active	25 (313 hits per day)	TUXEDO OS is an Ubuntu-based distribution developed in Germany by TUXEDO Computers GmbH, designed and optimised for the company's own range of Linux-friendly personal computers and notebooks. The distribution uses KDE Plasma as the preferred desktop. Some of the differences between Ubuntu and TUXEDO OS include custom boot menu, the TUXEDO Control Centre, Calamares installer, availability of the Lutris open gaming platform, preference for the PipeWire audio daemon (over PulseAudio), removal of Ubuntu's snap daemon and snap packages, and various other tweaks and enhancements.
puppy	Puppy Linux	2024-04-29 13:31 UTC	Linux	independent	Australia	i686;x86_64	JWM;Openbox	Desktop;From RAM;Old Computers;Live Medium;Netbooks 	Active	26 (304 hits per day)	Puppy Linux is yet another Linux distribution. What's different here is that Puppy is extraordinarily small, yet quite full-featured. Puppy boots into a ramdisk and, unlike live CD distributions that have to keep pulling stuff off the CD, it loads into RAM. This means that all applications start in the blink of an eye and respond to user input instantly. Puppy Linux has the ability to boot off a flash card or any USB memory device, CDROM, Zip disk or LS/120/240 Superdisk, floppy disks, internal hard drive. It can even use a multisession formatted CD-RW/DVD-RW to save everything back to the CD/DVD with no hard drive required at all.
alma	AlmaLinux OS	2024-02-02 02:44 UTC	Linux	redhat	USA	aarch64;ppc64le;s390x;x86_64	GNOME;KDE Plasma;MATE;Xfce	Desktop;Server 	Active	27 (302 hits per day)	AlmaLinux OS is an open-source, community-driven project that is built from the source code of Red Hat Enterprise Linux (RHEL). AlmaLinux is a completely binary compatible fork of RHEL and it is maintained by AlmaLinux OS Foundation which is a register non-profit.
pclinuxos	PCLinuxOS	2024-05-01 13:20 UTC	Linux	independent	USA	x86_64	KDE Plasma;MATE;Xfce	Beginners;Desktop;Live Medium 	Active	28 (301 hits per day)	PCLinuxOS is a user-friendly Linux distribution with out-of-the-box support for many popular graphics and sound cards, as well as other peripheral devices. The bootable live DVD provides an easy-to-use graphical installer and the distribution sports a wide range of popular applications for the typical desktop user, including browser plugins and full multimedia playback. The intuitive system configuration tools include Synaptic for package management, Addlocale to add support to many languages and Mylivecd to create a customised live CD.
arco	ArcoLinux	2024-03-27 23:59 UTC	Linux	arch	Belgium	x86_64	Awesome;bspwm;Budgie;Cinnamon;Deepin;GNOME;i3;MATE;KDE Plasma;Openbox;Xfce	Desktop;Live Medium 	Active	29 (297 hits per day)	ArcoLinux (previously known as ArchMerge) is a distribution based on Arch Linux. The development takes places in three branches - ArcoLinux, ArcoLinuxD and ArcoLinuxB. ArcoLinux is a full-featured distribution that ships with the Xfce desktop (as well as Openbox and i3 window managers). ArcoLinuxD is a minimal distribution that includes scripts that enable power users to install any desktop and application. ArcoLinuxB is a project that gives users the power to build custom distributions, while also developing several community editions with pre-configured desktops, such as Awesome, bspwm, Budgie, Cinnamon, Deepin, GNOME, MATE and KDE Plasma. ArcoLinux also provides various video tutorials as it places strong focus on learning and acquiring Linux skills.
alpine	Alpine Linux	2024-02-02 02:44 UTC	Linux	independent	Norway	aarch64;i486;ppc64;s390x;x86_64;armhf	GNOME;KDE Plasma;LXQt;MATE;Xfce	Firewall;From RAM;Raspberry Pi;Server;Security;Telephony 	Active	30 (290 hits per day)	Alpine Linux is a community developed operating system designed for routers, firewalls, VPNs, VoIP boxes, containers, and servers. It was designed with security in mind; it has proactive security features like PaX and SSP that prevent security holes in the software to be exploited. The C library used is musl and the base tools are all in BusyBox. Those are normally found in embedded systems and are smaller than the tools found in GNU/Linux systems.
tails	Tails	2024-04-23 17:57 UTC	Linux	debian	Ireland	x86_64	GNOME	From RAM;Live Medium;Privacy;Security 	Active	31 (261 hits per day)	The Amnesic Incognito Live System (Tails) is a Debian-based live DVD/USB with the goal of providing complete Internet anonymity for the user. The product ships with several Internet applications, including web browser, IRC client, mail client and instant messenger, all pre-configured with security in mind and with all traffic anonymised. To achieve this, Incognito uses the Tor network to make Internet traffic very hard to trace.
kubuntu	Kubuntu	2024-04-26 23:45 UTC	Linux	debian;ubuntu	Isle of Man	x86_64	KDE Plasma	Desktop;Live Medium 	Active	32 (259 hits per day)	Kubuntu is a free, user-friendly Linux distribution based on KDE's desktop software and on the Ubuntu operating system. It has a biannual release cycle. Besides providing an up-to-date version of the KDE desktop at the time of the release, the project also releases updated KDE packages throughout the lifetime of each release.
devuan	Devuan GNU+Linux	2024-05-01 06:51 UTC	Linux	debian	Global	aarch64;armel;armhf;i686;x86_64	Cinnamon;KDE Plasma;LXQt;MATE;Xfce	Desktop;Live Medium;Server;Raspberry Pi 	Active	33 (246 hits per day)	"Devuan GNU+Linux is a Linux distribution forked from Debian in 2015. The project's primary goal is to provide a variant of Debian without the complexities and dependencies of systemd, an init system and services manager originally developed by Red Hat and later adopted by most other Linux distributions. Devuan's initial beta release was made available in April 2016, together with an upgrade path from Debian 7.0 ""Wheezy"" and a possibility to switch to Devuan from Debian 8.0 ""Jessie"". The distribution adopted Xfce as its default desktop."
q4os	Q4OS	2024-02-02 02:44 UTC	Linux	debian	Germany	aarch64;armhf;i386;x86_64	KDE Plasma;Trinity	Desktop;Live Medium;Old Computers 	Active	34 (241 hits per day)	Q4OS is a Debian-based desktop Linux distribution designed to offer classic-style user interface (Trinity) and simple accessories, and to serve stable APIs for complex third-party applications, such as Google Chrome, VirtualBox and development tools. The system is also very useful for virtual cloud environments due to its very low hardware requirements.
regata	Regata OS	2024-03-22 01:22 UTC	Linux	opensuse	Brazil	x86_64	KDE Plasma	Desktop;Gaming;Live Medium 	Active	35 (241 hits per day)	Regata OS is a Brazilian Linux distribution based on openSUSE, focusing on desktop and gaming needs. Its main characteristics include a Regata OS store for installing applications and games, out-of-the-box integration with Google Drive, support for a gaming mode via the Vulkan graphics API, an extensive library of games in the Regata OS Game Access portal, support for configuration of hybrid graphics in notebooks, and easy transfer of files between a computer and a smartphone. The distribution's user interface is KDE Plasma.
easyos	EasyOS	2024-02-03 18:54 UTC	Linux	independent	Australia	x86_64	JWM	Desktop;Live Medium;Specialist 	Active	36 (238 hits per day)	EasyOS is an experimental Linux distribution which uses many of the technologies and package formats pioneered by Puppy Linux. The distribution features custom container technology called Easy Containers which can run applications or the entire desktop environment in a container. Packages, desktop settings, networking and sharing resources over the network can all be controlled through graphical utilities.
wattos	wattOS	2024-02-02 02:44 UTC	Linux	debian	USA	x86_64	LXDE	Desktop;Live Medium;Netbooks;Old Computers 	Active	37 (236 hits per day)	wattOS is a fast desktop Linux distribution based on Debian. Using the lightweight Openbox window manager as its default user interface, the distribution strives to be as energy-efficient as possible so that it can be used on low-specification and recycled computers.
peppermint	Peppermint OS	2024-02-02 02:44 UTC	Linux	debian;devuan	United Kingdom	aarch64;i686;x86_64	Xfce	Desktop;Live Medium;Raspberry Pi 	Active	38 (230 hits per day)	Peppermint OS is a Debian- and Devuan-based (previously a Lubuntu-based) Linux distribution that aims to be fast and easy on system resources. By employing its Site Specific Browser, Peppermint integrates seamlessly with cloud and web-based applications. The distribution's other features include straight forward updates and easy step-by-step installation using the Calamares installer. The distribution once employed a hybrid LXDE/Xfce desktop environment, mixing LXDE's lxsession with Xfce's panel and application menu. Starting in 2022, Peppermint OS shifted to using the Xfce desktop, dropping the LXDE components.
slackware	Slackware Linux	2024-05-01 16:50 UTC	Linux	independent	USA	arm;i586;s390;x86_64	Blackbox;Fluxbox;FVWM;KDE;WMaker;Xfce	Desktop;Server 	Active	39 (226 hits per day)	The Official Release of Slackware Linux by Patrick Volkerding is an advanced Linux operating system, designed with the twin goals of ease of use and stability as top priorities. Including the latest popular software while retaining a sense of tradition, providing simplicity and ease of use alongside flexibility and power, Slackware brings the best of all worlds to the table. Originally developed by Linus Torvalds in 1991, the UNIX-like Linux operating system now benefits from the contributions of millions of users and developers around the world. Slackware Linux provides new and experienced users alike with a fully-featured system, equipped to serve in any capacity from desktop workstation to machine-room server. Web, ftp, and email servers are ready to go out of the box, as are a wide selection of popular desktop environments. A full range of development tools, editors, and current libraries is included for users who wish to develop or compile additional software.
gnoppix	Gnoppix Linux	2024-04-02 06:21 UTC	Linux	debian;kali	Germany	i686;x86_64	GNOME;KDE Plasma;Xfce	Live Medium;Security 	Active	40 (218 hits per day)	Gnoppix is a Debian and Kali Linux-based distribution which can be run from a DVD, USB thumb drive or from a local drive. It can resume previous sessions while running in a live mode. The distribution attempts to clean up after itself, removing all traces of its use from the computer or used media. Prior to version 22, Gnoppix was a Knoppix-based distribution and live medium featuring the GNOME desktop.
bluestar	Bluestar Linux	2024-02-25 18:32 UTC	Linux	arch	Germany	x86_64	KDE Plasma	Desktop 	Active	41 (214 hits per day)	Bluestar Linux is a GNU/Linux distribution that is based on Arch Linux. The Bluestar distribution features up to date packages, a full range of desktop and multimedia software in the default installation and a live desktop DVD.
voyager	Voyager Live	2024-04-26 19:34 UTC	Linux	debian;xubuntu	France	x86_64	GNOME;Xfce	Desktop;Live Medium 	Active	42 (211 hits per day)	"Voyager Live is an Xubuntu-based distribution and live DVD showcasing the Xfce desktop environment. Its features include the Avant Window Navigator or AWN (a dock-like navigation bar), Conky (a program which displays useful information on the desktop), and over 300 photographs and animations that can be used as desktop backgrounds. The project also develops several other editions of Voyager Live - a ""GE"" edition with GNOME Shell, a ""GS"" variant for Gamers, and a separately-maintained flavour based on Debian's ""stable"" branch."
ghostbsd	GhostBSD	2024-02-14 00:47 UTC	BSD	freebsd	Canada	x86_64	MATE;Xfce	Desktop;Live Medium 	Active	43 (208 hits per day)	GhostBSD is a user-friendly desktop operating system based on FreeBSD. Its default desktop is MATE, but a separate community edition with Xfce is available too. It also features a selection of commonly used software, a rolling-release development model, and a bootable live image with an intuitive graphical system installer.
smartos	SmartOS	2024-03-07 06:04 UTC	Solaris	solaris	USA	x86_64	No Desktop	Specialist;Live Medium 	Active	44 (203 hits per day)	SmartOS is an open-source UNIX-like operating system based on illumos, a community fork of OpenSolaris. It features four technologies - ZFS (a combined file system and logical volume manager), DTrace (a dynamic tracing framework for troubleshooting kernel and application problems), Zones (a lightweight virtualisation solution), KVM and bhyve (two full virtualisation solutions for running a variety of guest operating systems, including Linux, Windows, BSD and Plan9). SmartOS is designed to be particularly suitable for building clouds and generating appliances.
lubuntu	Lubuntu	2024-04-27 00:14 UTC	Linux	debian;ubuntu	France;Taiwan	x86_64	LXDE;LXQt	Desktop;Live Medium;Netbooks 	Active	45 (201 hits per day)	Lubuntu is a variant of Ubuntu that uses the LXQt desktop environment. (Versions prior to 18.10 shipped with the LXDE desktop.) It includes essential applications and services for daily use, including office suite, PDF reader, image editor and multimedia players. A distribution available for both 32-bit and 64-bit computers, Lubuntu is intended to be user-friendly, lightweight and energy efficient.    
centos	CentOS	2024-04-02 01:07 UTC	Linux	redhat	USA	aarch64;ppc64le;x86_64;x86-64-v2	GNOME	Desktop;Live Medium;Server 	Active	46 (196 hits per day)	CentOS as a group is a community of open source contributors and users which started in 2003 and has been sponsored by Red Hat since 2014. CentOS Linux versions up to CentOS Linux 8 are 100% compatible rebuilds of Red Hat Enterprise Linux, in full compliance with Red Hat's redistribution requirements. In 2020 it was announced CentOS Linux is being discontinued and replaced with CentOS Stream, a developer-focused distribution which acts as a middle-stream between Fedora and Red Hat Enterprise Linux.
qubes	Qubes OS	2024-03-27 00:11 UTC	Linux	debian;fedora	Poland	x86_64	Xfce	Desktop;Security 	Active	47 (196 hits per day)	Qubes OS is a free and open-source, security-oriented operating system for single-user desktop computing. Qubes OS leverages Xen-based virtualization to allow for the creation and management of isolated compartments called qubes. These qubes, which are implemented as virtual machines (VMs). This allows each component of the operating system to be isolated from other pieces, preenting compromises from spreading or information from leaking.
rhino	Rhino Linux	2024-02-02 02:44 UTC	Linux	debian;ubuntu	Global	aarm64;x86_64	Xfce	Desktop;Live Medium;Raspberry Pi 	Active	48 (192 hits per day)	Rhino Linux is an Ubuntu-based distribution which offers a rolling-release upgrade approach. The distribution uses a customised Xfce desktop environment. Rhino features a custom meta package manager which unifies Deb, Pacstall and Flatpak software management.
biglinux	BigLinux	2024-03-05 04:40 UTC	Linux	manjaro	Brazil	x86_64	KDE Plasma	Desktop;Live Medium 	Active	49 (189 hits per day)	BigLinux is a Brazilian Linux distribution localised into Brazilian Portuguese (with support for English). It is was originally based on Kubuntu, but starting from 2017 the distribution was re-born based on deepin. It then offered two desktop environments - Cinnamon and Deepin. In 2021 the distribution switched bases and desktop environments again, migrating to Manjaro Linux running KDE Plasma.
archcraft	Archcraft	2024-04-06 14:07 UTC	Linux	arch	India	x86_64	bspwm;LXDE;Openbox;Xfce	Desktop;Live Medium 	Active	50 (186 hits per day)	Archcraft is a minimal Linux distribution based on Arch Linux. The project provides a graphical user interface using minimal window managers rather than full featured desktop environments. Archcraft is installed using the Calamares system installer and includes the yay package manager to facilitate fetching software from the Arch User Repository.
bodhi	Bodhi Linux	2024-02-02 02:44 UTC	Linux	debian;ubuntu	USA	x86_64	Moksha (Enlightenment)	Desktop;Live Medium;Netbooks;Old Computers 	Active	51 (186 hits per day)	Bodhi Linux is an elegant and lightweight Debian/Ubuntu-based distribution featuring Moksha, an Enlightenment-17-based desktop environment. The project takes a decidedly minimalist approach by offering modularity, high levels of customisation, and choice of themes. Bodhi releases come in several editions, including Standard (64-bit) and Legacy (32-bit) which are minimalist, only including a web browser, terminal, file manger, text editor and photo GUI applications, while the AppPack edition includes more applications and tools preinstalled. Additional software can be added with Bodhi's web-based AppCenter, Synaptic, and APT.
